,Time,Position,Velocity,Voltage,Force
299,5.084254,-0.008732,-0.0070730093375488,0.0,-13.8059
300,5.098983,-0.0088085517241379,-0.0052258339351166,0.0,-13.5925
301,5.114528,-0.0088902068965517,-0.0046398938781028,0.0,-13.5697
302,5.13418,-0.0089718620689655,-0.0047609569362598,0.0,-13.815
303,5.14883,-0.0090535172413793,-0.0036113828714001,0.0,-13.6879
305,5.184198,-0.0091913103448275,-0.0046164837044565,0.0,-13.7423
307,5.214676,-0.0093546206896551,-0.0049009766768977,0.0,-13.815
309,5.249007,-0.0095179310344827,-0.0084186575654149,0.0,-13.7242
310,5.264573,-0.0096046896551724,-0.0046367322003232,0.0,-13.6969
311,5.284228,-0.0096812413793103,-0.0036322039051645,0.0,-13.6788
312,5.315155,-0.0097884137931034,-0.003847970048233,0.0,-13.7968
313,5.3333,-0.0098700689655172,-0.0046966048782809,0.0,-13.8831
314,5.349927,-0.009951724137931,-0.0050126752650835,0.0,-13.7923
316,5.380133,-0.0101660689655172,-0.0047985879830631,0.0,-13.8195
318,5.41467,-0.0103344827586206,-0.0049957458722053,0.0,-14.0194
319,5.448899,-0.0104416551724137,-0.0038512001446254,0.0,-13.8514
321,5.465026,-0.0105947586206896,-0.007791127590243,0.0,-13.8876
322,5.484677,-0.0106815172413793,-0.0052540132851478,0.0,-13.9921
323,5.499023,-0.0107733793103448,-0.0053141314454601,0.0,-13.9467
324,5.530774,-0.0109264827586206,-0.003995270040662,0.0,-13.9513
326,5.565175,-0.0110999999999999,-0.0074759898190965,0.0,-13.9375
327,5.585331,-0.0111918620689655,-0.0054125659300918,0.0,-13.9286
328,5.599119,-0.011283724137931,-0.0060925264225108,0.0,-14.1284
329,5.614649,-0.0113704827586206,-0.0057332912744397,0.0,-14.0785
330,5.630274,-0.0114623448275862,-0.0053534234077635,0.0,-14.1601
331,5.648968,-0.0115542068965517,-0.0052050205337055,0.0,-14.2919
332,5.664591,-0.0116409655172413,-0.0049233927688857,0.0,-14.2146
