,Time,Position,Velocity,Voltage,Force
258,4.077787,-0.0343155862068965,-0.0149188608512346,0.3,-65.3145
260,4.109031,-0.0349331034482758,-0.039531223441476,0.3,-65.6868
261,4.124652,-0.0352852413793103,-0.015137300436268,0.3,-65.7231
263,4.155894,-0.0359129655172413,-0.039855376370195,0.3,-66.6542
264,4.171516,-0.0362651034482758,-0.0199283260139928,0.3,-67.2854
265,4.187137,-0.0365355862068965,-0.0202556682096819,0.3,-66.9176
266,4.202758,-0.0368979310344827,-0.0233578640202367,0.3,-66.7541
267,4.218381,-0.0372653793103448,-0.0204183668176154,0.3,-65.7142
268,4.234001,-0.0375358620689655,-0.0200929591860388,0.3,-66.1501
269,4.249622,-0.0378931034482758,-0.0230326549803647,0.3,-66.4543
270,4.265243,-0.038255448275862,-0.0200916729485331,0.3,-64.7149
271,4.280865,-0.0385208275862068,-0.0196016321449109,0.3,-67.0402
272,4.296486,-0.0388678620689655,-0.0223792463284395,0.3,-65.7822
273,4.312107,-0.03922,-0.0199283260139926,0.3,-65.1646
274,4.327729,-0.0394904827586206,-0.0199283260139926,0.3,-64.9012
275,4.34335,-0.0398426206896551,-0.014810280076759,0.3,-63.7114
277,4.374593,-0.0404448275862068,-0.0388753261315814,0.3,-64.3654
278,4.390215,-0.0407918620689655,-0.0147013809585476,0.3,-64.4153
280,4.421457,-0.0413889655172413,-0.0378977018116652,0.3,-64.3517
281,4.437078,-0.0417257931034482,-0.0144835827221246,0.3,-64.17
282,4.468321,-0.042067724137931,-0.0147799580207801,0.3,-63.2209
284,4.494397,-0.0428230344827586,-0.0372442931597393,0.3,-63.8385
285,4.510018,-0.0431547586206896,-0.01415718745838,0.3,-63.7159
287,4.54126,-0.043731448275862,-0.0362641801818518,0.3,-63.8113
288,4.556881,-0.0440529655172413,-0.0138301880128562,0.3,-64.1064
290,4.588124,-0.0446245517241379,-0.0365885422414878,0.3,-64.3562
291,4.603746,-0.044951172413793,-0.0138301880128558,0.3,-63.7613
293,4.634988,-0.0455125517241379,-0.0204183668176156,0.3,-63.4934
294,4.666231,-0.0459106206896551,-0.0135032025222849,0.3,-63.1937
296,4.681853,-0.0463801379310344,-0.0349573628780013,0.3,-62.862
297,4.697474,-0.046691448275862,-0.0132856924217988,0.3,-62.7259
299,4.728717,-0.0472324137931034,-0.0346328756236478,0.3,-62.8894
300,4.744337,-0.047543724137931,-0.0173153292760182,0.3,-62.0175
301,4.759959,-0.0477733793103448,-0.0171514281267968,0.3,-61.536
302,4.77558,-0.0480795862068965,-0.01943828521037,0.3,-62.8758
303,4.791202,-0.0483806896551724,-0.0169886249500557,0.3,-61.8676
304,4.806822,-0.0486103448275862,-0.0169886249500564,0.3,-61.6269
305,4.822444,-0.048911448275862,-0.01263229771253,0.3,-61.5995
307,4.862065,-0.0495697931034482,-0.0276413747130266,0.3,-62.0537
308,4.877688,-0.0498657931034482,-0.0126317586309906,0.3,-61.7904
310,4.908931,-0.0503761379310344,-0.0323437282702985,0.3,-60.8184
311,4.924552,-0.0506670344827586,-0.0123058629445918,0.3,-61.527
