Epochs = 80000 of 200000, Loss = 904.1087, params = (12.046369552612305, 15.031417846679688, -5.047388076782227)
Epochs = 81000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.031416893005371, -5.047379970550537)
Epochs = 82000 of 200000, Loss = 904.1087, params = (12.046378135681152, 15.031421661376953, -5.0473809242248535)
Epochs = 83000 of 200000, Loss = 904.1089, params = (12.046364784240723, 15.031412124633789, -5.047379493713379)
Epochs = 84000 of 200000, Loss = 904.1088, params = (12.04637622833252, 15.031423568725586, -5.0473761558532715)
Epochs = 85000 of 200000, Loss = 904.1088, params = (12.046375274658203, 15.03142261505127, -5.0473856925964355)
Epochs = 86000 of 200000, Loss = 904.1088, params = (12.046375274658203, 15.031421661376953, -5.0473833084106445)
Epochs = 87000 of 200000, Loss = 904.1088, params = (12.046377182006836, 15.031423568725586, -5.047394752502441)
Epochs = 88000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.031420707702637, -5.047380447387695)
Epochs = 89000 of 200000, Loss = 904.1087, params = (12.046378135681152, 15.031423568725586, -5.0473785400390625)
Epochs = 90000 of 200000, Loss = 904.1089, params = (12.046372413635254, 15.031417846679688, -5.047386646270752)
Epochs = 91000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.031418800354004, -5.047384738922119)
Epochs = 92000 of 200000, Loss = 904.1087, params = (12.046370506286621, 15.031416893005371, -5.047381401062012)
Epochs = 93000 of 200000, Loss = 904.1089, params = (12.046369552612305, 15.031418800354004, -5.04738712310791)
Epochs = 94000 of 200000, Loss = 904.1089, params = (12.046369552612305, 15.031415939331055, -5.047378063201904)
Epochs = 95000 of 200000, Loss = 904.1088, params = (12.046374320983887, 15.031421661376953, -5.047385215759277)
Epochs = 96000 of 200000, Loss = 904.1087, params = (12.046374320983887, 15.031420707702637, -5.047383785247803)
Epochs = 97000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.031418800354004, -5.047384738922119)
Epochs = 98000 of 200000, Loss = 904.1087, params = (12.046367645263672, 15.031414031982422, -5.047379016876221)
Epochs = 99000 of 200000, Loss = 904.1088, params = (12.04637622833252, 15.03142261505127, -5.047384262084961)
Epochs = 100000 of 200000, Loss = 904.1089, params = (12.046375274658203, 15.031421661376953, -5.0473785400390625)
Epochs = 101000 of 200000, Loss = 904.1087, params = (12.046378135681152, 15.031425476074219, -5.047389030456543)
Epochs = 102000 of 200000, Loss = 904.1089, params = (12.04637622833252, 15.03142261505127, -5.047384262084961)
Epochs = 103000 of 200000, Loss = 904.1087, params = (12.046375274658203, 15.031420707702637, -5.047387599945068)
Epochs = 104000 of 200000, Loss = 904.1088, params = (12.046370506286621, 15.031417846679688, -5.047387599945068)
Epochs = 105000 of 200000, Loss = 904.1089, params = (12.046370506286621, 15.031415939331055, -5.0473809242248535)
Epochs = 106000 of 200000, Loss = 904.1089, params = (12.046372413635254, 15.03141975402832, -5.0473833084106445)
Epochs = 107000 of 200000, Loss = 904.1088, params = (12.046369552612305, 15.031416893005371, -5.0473809242248535)
Epochs = 108000 of 200000, Loss = 904.1088, params = (12.046368598937988, 15.031415939331055, -5.0473856925964355)
Epochs = 109000 of 200000, Loss = 904.1088, params = (12.046374320983887, 15.03141975402832, -5.04738712310791)
Epochs = 110000 of 200000, Loss = 904.1088, params = (12.046371459960938, 15.031417846679688, -5.0473833084106445)
Epochs = 111000 of 200000, Loss = 904.1088, params = (12.04637336730957, 15.031418800354004, -5.047388553619385)
